"Timestamp","servingcell_RSSI","RSSI","RSRP","RSRQ"
"2024-08-29 14:42:19","-51","-48","-79","-12"
"2024-08-29 14:42:20","-51","-49","-81","-14"
"2024-08-29 14:42:21","-51","-48","-81","-14"
"2024-08-29 14:42:22","-51","-51","-79","-14"
"2024-08-29 14:42:23","-51","-48","-80","-13"
"2024-08-29 14:42:25","-51","-52","-77","-11"
"2024-08-29 14:42:26","-51","-51","-77","-11"
"2024-08-29 14:42:27","-51","-46","-76","-12"
"2024-08-29 14:42:28","-51","-49","-76","-11"
"2024-08-29 14:42:29","-51","-45","-76","-14"
"2024-08-29 14:42:30","-51","-46","-78","-14"
"2024-08-29 14:42:31","-51","-45","-75","-15"
"2024-08-29 14:42:32","-51","-45","-77","-13"
"2024-08-29 14:42:33","-51","-47","-78","-15"
"2024-08-29 14:42:34","-51","-45","-77","-15"
"2024-08-29 14:42:35","-51","-46","-78","-15"
"2024-08-29 14:42:36","-51","-46","-78","-15"
"2024-08-29 14:42:37","-51","-44","-80","-15"
"2024-08-29 14:42:38","-51","-51","-87","-20"
"2024-08-29 14:42:39","-51","-50","-81","-14"
"2024-08-29 14:42:40","-51","-50","-88","-17"
"2024-08-29 14:42:41","-51","-50","-90","-20"
"2024-08-29 14:42:42","-51","-50","-90","-20"
"2024-08-29 14:42:43","-51","-50","-93","-20"
"2024-08-29 14:42:45","-51","-48","-94","-20"
"2024-08-29 14:42:46","-51","-44","-84","-20"
"2024-08-29 14:42:47","-51","-41","-90","-20"
"2024-08-29 14:42:48","-51","-41","-86","-20"
"2024-08-29 14:42:49","-51","-43","-82","-19"
"2024-08-29 14:42:50","-51","-42","-85","-20"
"2024-08-29 14:42:51","-51","-41","-82","-20"
"2024-08-29 14:42:52","-51","-41","-82","-19"
"2024-08-29 14:42:53","-51","-42","-84","-20"
"2024-08-29 14:42:54","-51","-43","-85","-20"
"2024-08-29 14:42:55","-51","-42","-85","-20"
"2024-08-29 14:42:56","-51","-42","-85","-20"
"2024-08-29 14:42:57","-51","-42","-85","-20"
"2024-08-29 14:42:58","-51","-40","-85","-20"
"2024-08-29 14:42:59","-51","-41","-85","-20"
"2024-08-29 14:43:00","-51","-42","-78","-17"
"2024-08-29 14:43:01","-51","-42","-76","-16"
"2024-08-29 14:43:02","-51","-40","-76","-16"
"2024-08-29 14:43:03","-51","-39","-77","-17"
"2024-08-29 14:43:05","-51","-41","-77","-18"
"2024-08-29 14:43:06","-51","-39","-77","-17"
"2024-08-29 14:43:07","-51","-41","-83","-20"
"2024-08-29 14:43:08","-51","-43","-84","-20"
"2024-08-29 14:43:09","-51","-42","-87","-20"
"2024-08-29 14:43:10","-51","-42","-83","-20"
"2024-08-29 14:43:11","-51","-43","-84","-20"
"2024-08-29 14:43:12","-51","-42","-85","-20"
"2024-08-29 14:43:13","-51","-41","-85","-20"
"2024-08-29 14:43:14","-51","-42","-83","-20"
"2024-08-29 14:43:15","-51","-43","-83","-20"
"2024-08-29 14:43:16","-51","-43","-84","-20"
"2024-08-29 14:43:17","-51","-42","-81","-19"
"2024-08-29 14:43:18","-51","-41","-80","-19"
"2024-08-29 14:43:19","-51","-41","-87","-20"
"2024-08-29 14:43:20","-51","-39","-84","-20"
"2024-08-29 14:43:21","-51","-41","-84","-20"
"2024-08-29 14:43:22","-51","-40","-84","-20"
"2024-08-29 14:43:23","-51","-40","-80","-18"
"2024-08-29 14:43:25","-51","-40","-73","-14"
"2024-08-29 14:43:26","-51","-39","-77","-18"
"2024-08-29 14:43:27","-51","-38","-74","-15"
"2024-08-29 14:43:28","-51","-39","-78","-18"
"2024-08-29 14:43:29","-51","-37","-74","-15"
"2024-08-29 14:43:30","-51","-40","-79","-19"
"2024-08-29 14:43:31","-51","-44","-81","-15"
"2024-08-29 14:43:32","-51","-44","-81","-15"
"2024-08-29 14:43:33","-51","-45","-82","-15"
"2024-08-29 14:43:34","-51","-44","-81","-14"
"2024-08-29 14:43:35","-51","-45","-81","-14"
"2024-08-29 14:43:36","-51","-45","-81","-14"
"2024-08-29 14:43:37","-51","-45","-81","-15"
"2024-08-29 14:43:38","-51","-45","-82","-16"
"2024-08-29 14:43:39","-51","-44","-82","-15"
"2024-08-29 14:43:40","-51","-46","-82","-15"
"2024-08-29 14:43:41","-51","-45","-82","-14"
"2024-08-29 14:43:42","-51","-44","-82","-15"
"2024-08-29 14:43:43","-51","-45","-81","-15"
"2024-08-29 14:43:45","-51","-44","-82","-15"
"2024-08-29 14:43:46","-51","-44","-81","-15"
"2024-08-29 14:43:47","-51","-44","-81","-16"
"2024-08-29 14:43:48","-51","-44","-81","-15"
"2024-08-29 14:43:49","-51","-44","-81","-15"
"2024-08-29 14:43:50","-51","-44","-81","-15"
"2024-08-29 14:43:51","-51","-44","-81","-15"
"2024-08-29 14:43:52","-51","-43","-81","-14"
"2024-08-29 14:43:53","-51","-43","-80","-16"
"2024-08-29 14:43:54","-51","-44","-80","-14"
"2024-08-29 14:43:55","-51","-44","-80","-15"
"2024-08-29 14:43:56","-51","-45","-81","-14"
"2024-08-29 14:43:57","-51","-44","-81","-14"
"2024-08-29 14:43:58","-51","-46","-81","-13"
"2024-08-29 14:43:59","-51","-44","-81","-15"
"2024-08-29 14:44:00","-51","-45","-81","-14"
"2024-08-29 14:44:01","-51","-44","-80","-14"
"2024-08-29 14:44:02","-51","-45","-80","-14"
"2024-08-29 14:44:03","-51","-43","-81","-15"
"2024-08-29 14:44:05","-51","-44","-81","-14"
"2024-08-29 14:44:06","-51","-44","-80","-14"
"2024-08-29 14:44:07","-51","-43","-80","-15"
"2024-08-29 14:44:08","-51","-43","-80","-14"
"2024-08-29 14:44:09","-51","-44","-80","-14"
"2024-08-29 14:44:10","-51","-45","-81","-15"
"2024-08-29 14:44:11","-51","-44","-80","-15"
"2024-08-29 14:44:12","-51","-44","-81","-15"
"2024-08-29 14:44:13","-51","-44","-81","-15"
"2024-08-29 14:44:14","-51","-45","-81","-14"
"2024-08-29 14:44:15","-51","-46","-81","-15"
"2024-08-29 14:44:16","-51","-45","-81","-15"
"2024-08-29 14:44:17","-51","-45","-82","-15"
"2024-08-29 14:44:18","-51","-46","-82","-14"
"2024-08-29 14:44:19","-51","-46","-81","-14"
"2024-08-29 14:44:20","-51","-44","-81","-15"
"2024-08-29 14:44:21","-51","-45","-81","-14"
"2024-08-29 14:44:22","-51","-45","-81","-13"
"2024-08-29 14:44:23","-51","-46","-81","-14"
"2024-08-29 14:44:25","-51","-45","-80","-14"
